Resource Type,Transition Time,Checkout Center
# 0049-0053 Large Range Zoom - 24 to 120mm FX,03/10/2023 11:39 AM,Media Services - ATSS - D1025
# 0054-0058 Tele-Zoom - 28 to 300mm FX,03/10/2023 11:39 AM,Media Services - ATSS - D1025
DR-70D - TASCAM,03/24/2023 2:39 PM,Media Services - ATSS - D1025
MAC Laptops,01/12/2023 10:44 AM,Media Services - ATSS - D1025
MAC Podium Kit,05/09/2023 8:10 AM,Media Services - ATSS - D1025
USB Remote (NO LASER pointer),04/14/2023 10:00 AM,Media Services - ATSS - D1025
USB Remote (NO LASER pointer),04/14/2023 10:00 AM,Media Services - ATSS - D1025
Video Tripods (# 01 to 44),02/02/2023 1:33 PM,Media Services - ATSS - D1025
Video Tripods (# 01 to 44),03/02/2023 11:57 AM,Media Services - ATSS - D1025
Video Tripods (# 01 to 44),03/07/2023 11:43 AM,Media Services - ATSS - D1025
Windows Podium Kit,05/09/2023 8:10 AM,Media Services - ATSS - D1025
Windows Podium Kit,05/09/2023 8:10 AM,Media Services - ATSS - D1025
Windows Podium Kit,05/09/2023 8:10 AM,Media Services - ATSS - D1025
WM - Sennheiser Wireless Lapel Mic,03/24/2023 12:34 PM,Media Services - ATSS - D1025
ZM 24-70mm f/4.0 S Lens,03/10/2023 11:39 AM,Media Services - ATSS - D1025
ZM 24-70mm f/4.0 S Lens,03/10/2023 6:08 PM,Media Services - ATSS - D1025